ID,Chance_of_Admit
362,0.9255464964163851
74,0.7780669882877195
375,0.5719771991425932
156,0.7017310387902322
105,0.7895070953207568
395,0.8782097246443935
378,0.4836091179557682
125,0.6318694781229786
69,0.8143864921312476
451,0.7901287249316119
10,0.707136284862106
195,0.716380426643372
407,0.6829759732161085
85,0.926850433422619
372,0.8336463092175389
389,0.4983769713721318
496,0.8326161023253779
31,0.60272019122137
317,0.5300786972043842
409,0.5491264224558674
491,0.6432559282826765
492,0.5422137160376622
281,0.7216302641278204
357,0.77196794514323
77,0.7596359272805888
462,0.6138729844127125
498,0.9297733128200539
212,0.8503241635552642
102,0.6475866773552255
335,0.7351432324415119
476,0.5593436307543942
337,0.7152206120258923
441,0.5649506444888541
174,0.8685463190852379
3,0.6480875842296715
334,0.7329380361359892
410,0.5530518689191326
71,0.9348962078216848
210,0.6386248788000838
64,0.691144483988228
385,0.9350520640902226
94,0.561414271426756
486,0.6723092751601433
186,0.851582958998183
34,0.9305958889913868
78,0.5907357547644693
1,0.9378167490809348
12,0.817466440262232
416,0.7711150097317804
23,0.9171455970795526
73,0.8927503296737745
183,0.5633161399779955
132,0.6785468298658125
411,0.5187350715171269
194,0.9415211790089163
56,0.6358421805767716
149,0.9333241475650462
19,0.7336487216188804
205,0.6440542309049041
79,0.4932313839978338
495,0.6144653966159522
263,0.6737886502976441
324,0.5991705956816625
484,0.5811680706327431
80,0.47247055942449895
40,0.6135638656022314
452,0.8792820140311414
47,0.8994319589347034
239,0.6687604575176112
392,0.6892069685470544
353,0.6230641173640007
342,0.7678121404262384
278,0.692006337210735
291,0.5787529663004999
318,0.5461793808005085
305,0.6388718388617612
269,0.8379499254775817
70,0.8708033759278596
456,0.525090382518417
466,0.6361230132375347
155,0.7196310736227735
83,0.873225836543233
478,0.6294135877024015
173,0.8419958722081851
322,0.7266160930754222
91,0.6549575753628065
181,0.6140830576094027
415,0.747142827804308
313,0.7646845898646542
279,0.6744199461775027
382,0.7364460433275891
473,0.8949664611935961
363,0.9195950840834162
325,0.6790689572953114
432,0.7774800510271239
348,0.47646659601762426
87,0.697184719719732
76,0.7637924579459435
439,0.7267143061680302
16,0.6783861380856393
