ID,Chance_of_Admit
362,0.9300266255294587
74,0.779142176691839
375,0.5649305806764221
156,0.7013038531488167
105,0.7950426805127266
395,0.8784325345573125
378,0.482878262407161
125,0.6377257290536359
69,0.8184097076514506
451,0.7844206726788695
10,0.7001784331453226
195,0.7185120880940558
407,0.6742659577419766
85,0.9245105579436806
372,0.8414764584097999
389,0.5053436765315446
496,0.8324397811503771
31,0.5977958486041582
317,0.5394488772004696
409,0.5499363622488623
491,0.6387503344879729
492,0.5411645422173987
281,0.7218379384756494
357,0.7729223372006164
77,0.7587735374167108
462,0.6117468148998274
498,0.9288765012648118
212,0.8503132840664499
102,0.6441431199853938
335,0.7357896196338214
476,0.547283987936953
337,0.7174399871531022
441,0.5574571516850262
174,0.8728588949756986
3,0.6327167529287889
334,0.7328939223246376
410,0.5622480101999148
71,0.9346692700866531
210,0.634277821015104
64,0.6907714772972127
385,0.9325818163407367
94,0.5388483487968716
486,0.6786017507107729
186,0.8546489525238445
34,0.9296974983590826
78,0.603472821216071
1,0.9379762559795236
12,0.8196451032912704
416,0.7714588076812772
23,0.9167711708025719
73,0.8989378466746474
183,0.5462148022031033
132,0.6694763159787646
411,0.4950578175092879
194,0.9400198739454537
56,0.6402557924771038
149,0.9399207798255537
19,0.7385009557837426
205,0.6438401842251287
79,0.475605656008952
495,0.6214836313004355
263,0.6752001033705788
324,0.6052115291677509
484,0.5708631885632852
80,0.46744367741110066
40,0.5992157498895083
452,0.8836652896284047
47,0.8978143817830005
239,0.6753213662127374
392,0.6944381964052067
353,0.6152651933532163
342,0.7620342565011811
278,0.6912490116666986
291,0.5680409074746106
318,0.5563170582307834
305,0.6382015046209271
269,0.8468768982829501
70,0.8712240519990956
456,0.5153146915765043
466,0.6377939060138375
155,0.7246768053631734
83,0.8808959765523772
478,0.6322030792135281
173,0.8460477721016345
322,0.7178635287866816
91,0.6513569472062783
181,0.6103974244107444
415,0.7381857114076863
313,0.7655104776290889
279,0.6765489413136251
382,0.7325142224480113
473,0.9030687915895849
363,0.9167746460801769
325,0.6843137597171782
432,0.7766650153192461
348,0.46820632893508274
87,0.6912525819381153
76,0.7588267514430793
439,0.7263675046992658
16,0.6812275630191394
