ID,Chance_of_Admit
362,0.9222003149195872
74,0.7743516602806406
375,0.5827973966405074
156,0.6962014643165569
105,0.7878460607673563
395,0.8743958291151722
378,0.4790989731052218
125,0.6399264852808726
69,0.8204250753033712
451,0.782153659943262
10,0.7031886155931025
195,0.7132119569127232
407,0.6751518632135033
85,0.9166557497634077
372,0.8364468019618675
389,0.5061654312943512
496,0.8215756357644707
31,0.6013703258951164
317,0.5334884411074238
409,0.5443278984497975
491,0.6486337817216508
492,0.5416239553695876
281,0.7243558667175336
357,0.7694358813822861
77,0.7586581655696857
462,0.6127478609373467
498,0.9219914109351696
212,0.8469494891598183
102,0.6557365237404165
335,0.7344444653415588
476,0.5528122360302089
337,0.7145544714035703
441,0.5679106252194265
174,0.8694629030182764
3,0.6524424954173832
334,0.7317990003757134
410,0.5555925543380352
71,0.9274646169055698
210,0.6391123664690496
64,0.7027494725675967
385,0.9231752943970692
94,0.5582771049039675
486,0.6813443633476163
186,0.8520659546176309
34,0.9178488240106161
78,0.5968690751951279
1,0.9312432962952794
12,0.8159953415222772
416,0.7683893501055467
23,0.9047288941686759
73,0.882100029399336
183,0.5578586590045184
132,0.6800452647848799
411,0.5167799352598175
194,0.931594601262713
56,0.6365862688725957
149,0.9266008353458193
19,0.7368451426207867
205,0.644772978734136
79,0.49628155287959236
495,0.6140094783027866
263,0.6805892511221031
324,0.6045342874235407
484,0.5818317737583347
80,0.466747774824962
40,0.6175403776453863
452,0.874536781726206
47,0.8864853883835391
239,0.6661095320538338
392,0.6893453915759219
353,0.6154593433957367
342,0.7619302961156602
278,0.6943896590458049
291,0.5813908006568135
318,0.5479988566694799
305,0.6510244073837875
269,0.8402305801160269
70,0.8672432643835007
456,0.527175051525675
466,0.6357711704776146
155,0.7246018871113575
83,0.8615748078125582
478,0.627097097078898
173,0.8442119859132621
322,0.7265385580654186
91,0.6620036163026702
181,0.6169951206899854
415,0.7396998732397693
313,0.7597959351424951
279,0.6800205006818029
382,0.7335729294909012
473,0.8920220020147346
363,0.9047917207033388
325,0.6760819012125512
432,0.7698559765373061
348,0.46924126483307305
87,0.6940393305860222
76,0.7638989799765468
439,0.7321687476829021
16,0.6755199321352879
